worker name,job title,skills,rating,location
Lilian Drysdell,barber,hair cutting,5,2411 Spaight Parkway
Aileen Funcheon,sweeper,cleaning and maintaining house,1,02922 Oak Valley Alley
Nicolai Kennelly,accountant ,accounting ,0,68862 Goodland Park
Ric Trewett,beautician,facewash cleanup makeup parlour,1,348 Eliot Court
Ikey Reignould,carpenter, furniture making ,3,16 Mitchell Terrace
Link McGoogan,Yoga Instructor,Experience of regular yoga practice,1,3 Grasskamp Place
Sidoney Goosey,app developer,design and build apps,5,68252 Darwin Lane
Gwenette Pringell,cleaning worker,cleaning,2,4 Evergreen Court
Jarrod Gerrels,tester,for finding the bugs in the code,4,702 Del Mar Parkway
Sisile Hatrey,Yoga Instructor,Experience of regular yoga practice,0,7088 Grasskamp Plaza
Thea Loidl,cooler repairing,"motor exchange,cooling pad repairing etc",5,71 Oxford Alley
Nestor Lean,beautician,facewash cleanup makeup parlour,2,78 Monica Hill
Trudy Hackey,Plumber,install and repair pipes,5,13158 Village Green Circle
Doria Keaysell,care taker,taking care of old people and small children,1,3 Fairfield Alley
Janella Rittmeyer,fry/saute cook,expert in fried and sauteed items,1,98 Lukken Road
Iago Girardini,software architect,help to build the code,4,79510 Oriole Court
Bryana Udall,barber,hair cutting,3,521 Jenna Crossing
Ester Bard,web developer,design and build website,1,27 Novick Terrace
Friedrick Humbie,Yoga Instructor,Experience of regular yoga practice,4,3732 Mockingbird Circle
Cointon Bruckman,sweeper,cleaning and maintaining house,3,0 Lakeland Street
Linoel Mainston,shop worker,working in various shops,1,21 Mayfield Alley
Layla Walczak,Yoga Instructor,Experience of regular yoga practice,2,4265 Montana Circle
Wesley Noseworthy,Yoga Instructor,Experience of regular yoga practice,3,29 Northfield Parkway
Odilia Kaplin,cleaning worker,cleaning,5,10654 Hintze Alley
Cherlyn Latchmore,barber,hair cutting,3,9 Burrows Point
Sheelah Ballston,carpenter, furniture making ,2,8 Loftsgordon Center
Mattias Sicha,Yoga Instructor,Experience of regular yoga practice,3,5117 Saint Paul Drive
Angil Storror,accountant ,accounting ,4,489 Mcguire Place
Boony Barsham,beautician,facewash cleanup makeup parlour,1,52363 Forest Run Place
Morten Humpherston,kitchen manager,"purchase items for cooking,handles kitchen",4,84338 Homewood Parkway
Iver Le-Good,software architect,help to build the code,2,0 Oak Valley Pass
Ethelbert Tulley,care taker,taking care of old people and small children,2,8789 Stang Drive
Amelie Bickerstasse,washing machine, all types of washing machines,3,645 International Circle
Jade Audiss,architect,design new buildings,2,612 Linden Lane
Belva Kiddy,app developer,design and build apps,1,71974 Forest Lane
Virginie Bromilow,web developer,design and build website,5,06 Novick Junction
Rozanna Trevarthen,barber,hair cutting,0,836 Center Avenue
Helene Harget,painter,"painting houses,buildings ",4,18 Norway Maple Drive
Karna Gerlack,Yoga Instructor,Experience of regular yoga practice,5,0527 Di Loreto Junction
Alvan Sebire,sweeper,cleaning and maintaining house,2,20 Lakewood Gardens Parkway
Elberta Sutliff,cleaning worker,cleaning,1,7003 Muir Park
Margit Hawson,Yoga Instructor,Experience of regular yoga practice,3,18995 Grasskamp Terrace
Jessy Brackenridge,accountant ,accounting ,2,10 Dawn Way
Dru Oby,Yoga Instructor,Experience of regular yoga practice,4,058 Mifflin Crossing
Harry Wilcott,Yoga Instructor,Experience of regular yoga practice,1,8 Clove Plaza
Farlee McDougall,care taker,taking care of old people and small children,4,6 Schmedeman Hill
Any Kernocke,carpenter,furniture making ,4,6564 Raven Parkway
Bette-ann Croshaw,software architect,help to build the code,3,47 Parkside Avenue
Reinaldo Coopman,beautician,facewash cleanup makeup parlour,4,70050 Butterfield Pass
Maureene Fletcher,sweeper,cleaning and maintaining house,0,3871 Gale Circle
Leah Shayes,washing machine , all types of washing machines,5,9512 Londonderry Plaza
Tiffani Elphinston,web developer,design and build website,0,7602 Iowa Plaza
Dore Dallas,barber,hair cutting,2,8 Barby Circle
Francoise MacLardie,shop worker,working in various shops,0,07317 Garrison Terrace
Monique Derr,cleaning worker,cleaning,0,01514 Meadow Valley Park
Brandy Tarbin,architect,design new buildings,1,88 Arapahoe Hill
Austin Sprigg,app developer,design and build apps,4,377 Green Park
Mellicent De Zamudio,accountant ,accounting ,1,54850 Mallard Pass
Sarge McDonell,software architect,help to build the code,0,58 Granby Plaza
Virgilio Bartholomaus,pantry cook,cold food items,1,301 Lotheville Circle
Kingsly Farbrother,Locksmith,lock and security mechanism,1,349 John Wall Junction
Read Malpass,Locksmith,lock and security mechanism,2,937 Thackeray Road
Alejandro Sandal,care taker,taking care of old people and small children,1,4 Judy Crossing
Deena Kemmish,web developer,design and build website,1,87 Almo Park
Durand Alcide,sweeper,cleaning and maintaining house,3,2153 Anhalt Street
Ogdon De Meyer,washing machine , all types of washing machines,1,999 Jana Crossing
Christina Stern,beautician,facewash cleanup makeup parlour,1,8 Corscot Pass
Antonie Caldeyroux,barber,hair cutting,0,8950 Stoughton Terrace
Rita Huxster,Locksmith, lock and security mechanism,3,68 Sherman Plaza
Fern Seatter,Mechanic,excellent knowledge of motor technology,1,1244 Transport Road
Noach Mobberley,carpenter, furniture making ,2,9779 Bashford Road
Wendel Carey,Mechanic,excellent knowledge of motor technology,3,68 Little Fleur Plaza
Lydon McElhargy,cleaning worker,cleaning,1,5677 Fulton Drive
Ermengarde Sibery,accountant ,accounting ,0,08 Atwood Trail
Enrico Rosenschein,architect,design new buildings,5,8 Lakewood Avenue
Ripley Nix,soup and sauce cook,all soups and sauce,2,691 Burrows Road
Ileana Jacquemard,sweeper,cleaning and maintaining house,3,124 Shopko Circle
Arielle Isitt,beautician,facewash cleanup makeup parlour,5,41 8th Circle
Danie Butchart,barber,hair cutting,2,49 Muir Center
Sharlene Caso,care taker,taking care of old people and small children,1,90 Division Street
Dorotea Grodden,accountant ,accounting ,1,00 Stang Parkway
Kanya McAleese,Locksmith,lock and security mechanism,3,971 Melby Crossing
Andrej Banthorpe,painter,"painting houses,buildings ",4,196 Pennsylvania Avenue
Madeleine Stanbra,Locksmith,lock and security mechanism,3,96 Del Mar Parkway
Mariellen Roocroft,app developer,design and build apps,0,36701 Vidon Plaza
Gwynne Alesio,web developer,design and build website,5,374 Westerfield Park
Shane Kendall,washing machine , all types of washing machines,5,5561 Sunnyside Alley
Ranee Downton,Locksmith,lock and security mechanism,5,01081 Mallory Way
Hinze Nield,sweeper,cleaning and maintaining house,1,7455 Grover Pass
Douglas MacConnal,cleaning worker,cleaning,1,8 Merrick Point
Gaye Tunny,shop worker,working in various shops,0,995 Crescent Oaks Terrace
Sergei Cloke,barber,hair cutting,0,9220 Orin Place
Kesley Pletts,Locksmith,lock and security mechanism,3,06 Springview Park
Crosby Malkinson,bus person,"serves the bread,butter,water",1,36 Fairview Lane
Paddy Maypole,Truck Driver,"Driving skill, excellent hearing and vision",3,8552 Namekagon Crossing
Vitia Terron,sweeper,cleaning and maintaining house,0,1 Oxford Circle
Adolpho Devita,Locksmith,lock and security mechanism,1,6 Sullivan Road
Cecily Mattussevich,accountant ,hearing and vision,3,0028 Melody Plaza
Christal List,Locksmith,lock and security mechanism,5,6 Cambridge Center
Arda Dyneley,washing machine , all types of washing machines,0,48050 Carioca Court
Clement Clevely,care taker,taking care of old people and small children,5,632 Towne Street
Florenza Hasard,web developer,design and build website,2,817 International Drive
Modesta Holligan,architect,design new buildings,5,73 Dawn Lane
Lyle Greenway,carpenter, furniture making ,4,5818 Mcguire Plaza
Sidoney Mannock,sweeper,cleaning and maintaining house,3,088 Sauthoff Point
Jerad McNeillie,Plumber,install and repair pipes,3,35645 Bay Alley
Mignon Yell,barber,hair cutting,2,8 Dennis Trail
Rolph Slateford,cleaning worker,cleaning,1,444 Crownhardt Junction
Lauren Inchcomb,Locksmith,lock and security mechanism,5,635 Prentice Crossing
Farlee Tomaszczyk,Locksmith,lock and security mechanism,3,6691 Elmside Hill
Emlyn Balaison,app developer,design and build apps,0,108 Stang Plaza
Giffard Bolin,pantry cook,cold food items,3,00045 Mayer Avenue
Elysee Fri,Taxi Driver,Can drive any type of 4 whiller,5,765 Dahle Lane
Thibaud Shoemark,Locksmith,lock and security mechanism,5,4 Goodland Junction
Allissa Goldsberry,washing machine , all types of washing machines,5,5 Sauthoff Center
Sebastien Bolderoe,Locksmith,lock and security mechanism,2,29 Nancy Court
Lucian Riddich,barber,hair cutting,2,39 Lawn Circle
Nettie Hackford,shop worker,working in various shops,0,31752 Sherman Parkway
Beltran Curran,Locksmith,lock and security mechanism,3,686 New Castle Drive
Corby Eldrid,painter,"painting houses,buildings ",4,463 2nd Terrace
Stephan Irving,Locksmith,lock and security mechanism,2,9486 Linden Lane
Clay Piel,cleaning worker,cleaning,5,388 Mallard Junction
Joaquin Galbraeth,Truck Driver,For long route transportation,1,494 Summit Drive
Filippa Dengel,fry/saute cook,expert in fried sauteed items ,4,4 Dayton Place
Ad Bickerdyke,Welding,Extensive knowledge of various welding techniques,5,72 Prentice Drive
Hildegarde Stanett,barber,hair cutting,4,013 Forest Run Point
Felisha Nan Carrow,Taxi Driver,for one day trip,4,3404 Sunbrook Point
Wilfrid Ferry,carpenter, furniture making ,2,28 Oakridge Drive
Kassi O' Mullan,beautician,facewash cleanup makeup parlour,5,4216 Homewood Avenue
Rhoda Tewkesberry,web developer,design and build website,4,19 Weeping Birch Court
Verine Rodway,cleaning worker,cleaning,0,086 Nova Alley
Ardyth Melonby,Welding,Extensive knowledge of various welding techniques,1,3 Mcbride Center
Dara Whillock,accountant ,accounting ,1,21507 Muir Circle
Hermine Daton,Truck ,,3,47 Summerview Center
Vere Sang,Plumber,install and repair pipes,5,2 Merrick Lane
Cody Whyke,care taker,taking care of old people and small children,2,1781 Cardinal Street
Pierette Dabourne,barber,hair cutting,1,878 Beilfuss Avenue
Adrianne Fentem,app developer,design and build apps,4,514 Carpenter Crossing
Audie Gaveltone,cleaning worker,cleaning,3,41 4th Crossing
Vito M'Chirrie,architect,design new buildings,2,9010 Morrow Trail
Roy Gietz,washing machine , all types of washing machines,1,8 Beilfuss Park
Jessalin Vereker,web developer,design and build website,0,76059 Dovetail Alley
Derwin Savill,care taker,taking care of old people and small children,2,67 Sloan Alley
Keelby Yekel,tester,for finding the bugs in the code,3,41155 Sutherland Circle
Grove Spaule,accountant ,accounting ,0,244 Northwestern Trail
Glad Haile,Welding,Extensive knowledge of various welding techniques,0,0694 Bobwhite Circle
Baxter Simonyi,waiter,serve water/cooked food,2,0 Miller Alley
Sheelah Probets,beautician,facewash cleanup makeup parlour,5,36 Brentwood Hill
Freddy Harvard,shop worker,working in various shops,1,482 Utah Park
Wendy Oades,barber,hair cutting,5,2 Trailsway Alley
Vittorio Gorler,truck,sdgseg,3,5 Truax Terrace
Glenn Borth,carpenter, furniture making ,3,8 Summer Ridge Trail
Brana Ellwell,Housekeeper,adapt in the household they work in,0,388 Kenwood Road
Ed Stirley,Welding,Extensive knowledge of various welding techniques,1,586 Coolidge Point
Clerissa Firbanks,cleaning worker,cleaning,3,08624 Lawn Parkway
Geri Wheelwright,truck," skill, excellent hearing and vision",4,72252 Anthes Street
Keelby Jaxon,care taker,taking care of old people and small children,2,6192 Tennyson Way
Leonora Probat,Plumber,install and repair pipes,1,5513 Declaration Center
Elonore Castellet,painter,"painting houses,buildings ",2,6 Riverside Terrace
Edik Kenwright,shop worker,working in various shops,1,0851 1st Pass
Kippy Kerins,app developer,design and build apps,1,52755 Mandrake Place
Tamarra Kuhle,accountant ,accountanting,3,62 Miller Pass
Elonore Southard,beautician,facewash cleanup makeup parlour,2,660 Hintze Place
Nananne Tweedlie,barber,hair cutting,2,460 Buhler Drive
Ketti Sieve,washing machine , all types of washing machines,3,993 Randy Street
Ricky Fullerlove,tester,for finding the bugs in the code,4,25 Heffernan Street
Carissa Stubs,Truck Driver,"Driving skill, excellent hearing and vision",2,8 Erie Place
Fae McGeever,Welding,Extensive knowledge of various welding techniques,1,440 Granby Drive
Gabby Wickstead,Housekeeper,adapt in the household they work in,0,2506 Kensington Drive
Urson Warriner,cleaning worker,cleaning,2,47 Bluestem Road
Ingunna Senecaut,Housekeeper,adapt in the household they work in,1,721 Scofield Street
Hamish Karpinski,web developer,design and build website,0,09 Pawling Point
Minny Dahill,baker,"cook cakes,creativity ",3,8045 Village Circle
Cristian Parades,barber,hair cutting,1,314 Moulton Court
Hy Gardener,care taker,taking care of old people and small children,0,1 Rieder Trail
Giustina Mulrean,Plumber,install and repair pipes,2,115 Dawn Trail
Angelo Forsythe,accountant ,accounting ,4,07367 Porter Road
Estevan Spatari,shop worker,working in various shops,0,78709 Granby Drive
Melva Seary,Truck ," skill, excellent hearing and vision",5,89 Darwin Way
Sancho Turbill,app developer,design and build apps,2,59923 Ridgeway Street
Christal Farrears,cleaning worker,cleaning,2,1 Hagan Road
Yehudi Battelle,Welding,Extensive knowledge of various welding techniques,3,587 Golf Course Terrace
Laurie Skippings,electrician, solve all electrical issues ,1,9 Pankratz Junction
Minny Maydway,web developer,design and build website,4,374 Little Fleur Terrace
Gui Mordy,Housekeeper,adapt in the household they work in,5,4 Quincy Center
Reid Fargher,shop worker,working in various shops,3,5 Kenwood Avenue
Joshuah Hansill,Truck Driver,"Driving skill, excellent hearing and vision",0,71 Saint Paul Street
Clotilda Galler,barber,hair cutting,4,8522 Jenifer Way
Major Crosskill,washing machine , all types of washing machines,4,9826 Arizona Parkway
Orlan Benck,care taker,taking care of old people and small children,5,3060 Hazelcrest Drive
Diana Haselup,Plumber,install and repair pipes,4,25 Colorado Crossing
Mair Yushmanov,accountant ,accountanting,4,7 Kinsman Center
Arnold Warbys,tester,for finding the bugs in the code,5,25 Rutledge Alley
Lorrie Lifton,delivery boy ,provide tiffins of meal ,2,384 Burrows Alley
Pauly Shallcrass,Welding,Extensive knowledge of various welding techniques,4,9 Lakewood Hill
Emery Jurgen,app developer,design and build apps,3,39 Mccormick Plaza
Melvin Cuppleditch,carpenter, furniture making ,1,6 Fair Oaks Road
Bridgette Lawful,architect,design new buildings,3,060 Lukken Plaza
Waylan Nicholl,web developer,design and build website,3,38745 American Plaza
Derby Stait,cleaning worker,cleaning,1,5 Prairie Rose Road
Waylen Hartly,Truck ,"Driving skill, excellent hearing and vision",0,50957 Bluestem Road
Marketa Riddlesden,shop worker,working in various shops,5,95962 Lunder Terrace
Brennen Symms,Locksmith,lock and security mechanism,3,83 Kipling Center
Heddi Delacoste,barber,hair cutting,4,631 Dexter Center
Rasla Prandoni,care taker,taking care of old people and small children,2,55303 Graceland Alley
Sari Areles,painter,"painting houses,buildings ",1,5078 Sunnyside Court
Brigid Jardin,Housekeeper,adapt in the household they work in,2,40 Nova Park
Leila Collyer,Welding,Extensive knowledge of various welding techniques,5,70874 Florence Hill
Arvy Crowden,Truck Driver,"Driving skill, excellent hearing and vision",0,0 Ridge Oak Center
Merrie Whellams,washing machine , all types of washing machines,5,84 Little Fleur Drive
Rodrique Found,cleaning worker,cleaning,0,15848 Rutledge Pass
Meade Ingley,tester,for finding the bugs in the code,3,10 Glacier Hill Center
Lilian Pietri,accountant ,accounting ,2,5 Redwing Junction
Rhys Sandwith,Plumber,install and repair pipes,1,0 Muir Trail
Estrella Sidary,web developer,design and build website,3,6 Oneill Crossing
Mildred Castelow,baker,"cooks cakes ,creativity",5,80050 Almo Park
Jermayne Dominka,Plumber,install and repair pipes,0,617 Forest Run Place
Broddy Stookes,Plumber,install and repair pipes,1,3648 Claremont Court
Frazer Readhead,shop worker,working in various shops,1,899 Victoria Terrace
Rochella Eccersley,app developer,design and build apps,1,8 Dovetail Crossing
Kaiser Mardall,Housekeeper,adapt in the household they work in,2,61 Cordelia Court
Gardy Ginglell,care taker,taking care of old people and small children,3,163 Ramsey Court
Ricoriki Tideswell,architect,design new buildings,2,39 North Parkway
Garnet Schmidt,carpenter, furniture making ,1,11913 Sunfield Terrace
Kenn Doale,Truck ," skill, excellent hearing and vision",4,293 Forest Lane
Zaria Lanegran,cleaning worker,cleaning,3,1883 Stone Corner Circle
Dagny Ravilus,Welding,Extensive knowledge of various welding techniques,4,2147 Sugar Way
Linet Bortoloni,washing machine , all types of washing machines,4,25 Mendota Center
Laurie Priddle,Plumber,install and repair pipes,5,15505 Iowa Lane
Lorin Kyle,accountant ,accounting ,1,8889 Dayton Place
Tandi Fulloway,tester,for finding the bugs in the code,3,2673 Pearson Road
Ervin Voice,Truck ," skill, excellent hearing and vision",4,1 6th Point
Ravi Guiducci,line cook,responsible for daily food and kitchen tasks,1,933 Brentwood Alley
Trix Stirgess,barber,hair cutting,4,58 Veith Hill
Faith Ambroziak,care taker,taking care of old people and small children,3,4196 Twin Pines Plaza
Ilyse Gurnay,web developer,design and build website,1,76 Nancy Point
Astrid Carnie,carpenter, furniture making ,3,282 Arizona Way
Shawn Wearden,app developer,design and build apps,1,73959 Sycamore Park
Randee McGucken,Housekeeper,adapt in the household they work in,4,6787 Lien Avenue
Binnie Brimfield,painter,"painting houses,buildings ",4,50302 Granby Center
Charles Farn,Truck," skill, excellent hearing and vision",0,1 Oakridge Hill
Lurette Cottie,Locksmith,lock and security mechanism,3,02 Northport Junction
Sherline Coorington,Welding,Extensive knowledge of various welding techniques,2,5042 Holmberg Hill
Alie Killingbeck,shop worker,working in various shops,1,01 Thompson Hill
Gilbert Gerardi,Plumber,install and repair pipes,4,5411 Vermont Lane
Felicle Luckes,care taker,taking care of old people and small children,4,681 Charing Cross Road
Pernell Bohills,barber,hair cutting,4,1851 Dwight Hill
